counties,longitude,latitude
KeeLung,121.7081,25.10898
Taipei,121.5598,25.09108
NewTaipei,121.6739,24.91571
TaoYuan,121.2168,24.93759
HsinChu2,120.9647,24.80395
HsinChu,121.1252,24.70328
MioaLi,120.9417,24.48927
TaiChung,120.9417,24.23321
ChangHua,120.4818,23.99297
YunLin,120.3897,23.75585
Chiayi,120.574,23.45889
Chiayi2,120.4473,23.47545
Tainan,120.2513,23.1417
KoaShiung,120.666,23.01087
PingTung,120.62,22.54951
TaiTung,120.9876,22.98461
HuaLien,121.3542,23.7569
YiLan,121.7195,24.69295
NanTou,120.9876,23.83876
PengHu,119.6151,23.56548
KinMen,118.3186,24.43679
LineChiang,119.5397,26.19737
